Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,9.032,60,sylv,13.388
60,sylv,Sylv60B,13.388,60,QM24,16.21
60,sylv,Sylv60C,19.553,60,QM25,21.32
60,QM24,QM2460A,14.758,60,tab095,49.491
60,QM24,QM2460C,17.662,60,tabChu,48.306
60,QM25,QM2560A,28.263,60,tomf,50.014
60,QM25,QM2560B,19.272,85,sylv,12.636
60,QM25,QM2560C,21.32,85,QM24,30.467
60,tab095,TAB09560A,49.491,85,QM25,46.895
60,tab095,TAB09560B,78.696,85,tab095,103.705
60,tab095,TAB09560C,43.298,85,tabChu,166.46
60,tabChu,TABC60A,48.532,85,tomf,63.264
60,tabChu,TABC60B,48.048,95,sylv,14.89
60,tabChu,TABC60C,48.306,95,QM24,50.8315
60,tomf,Tom60A,50.82,95,QM25,72.13
60,tomf,Tom60B,50.014,95,tab095,134.416
60,tomf,Tom60C,45.092,95,tabChu,150.336
85,sylv,Sylv85A,11.97,95,tomf,62.141
85,sylv,Sylv85B,14.58,,,
85,sylv,Sylv85C,12.636,,,
85,QM24,QM2485A,30.154,,,
85,QM24,QM2485B,30.467,,,
85,QM24,QM2485C,35.677,,,
85,QM25,QM2585A,46.895,,,
85,QM25,QM2585B,39.51,,,
85,QM25,QM2585C,54.062,,,
85,tab095,TAB09585A,97.165,,,
85,tab095,TAB09585B,107.581,,,
85,tab095,TAB09585C,103.705,,,
85,tabChu,TABC85A,166.46,,,
85,tabChu,TABC85B,107.162,,,
85,tabChu,TABC85C,183.976,,,
85,tomf,Tom85B,82.819,,,
85,tomf,Tom85C,43.709,,,
95,sylv,Sylv95A,14.89,,,
95,sylv,Sylv95B,13.32,,,
95,sylv,Sylv95C,16.746,,,
95,QM24,QM2495A,55.363,,,
95,QM24,QM2495B,46.3,,,
95,QM25,QM2595A,72.13,,,
95,QM25,QM2595B,86.367,,,
95,QM25,QM2595C,55.019,,,
95,tab095,TAB09595A,134.416,,,
95,tab095,TAB09595B,126.496,,,
95,tab095,TAB09595C,161.791,,,
95,tabChu,TABC95A,86.855,,,
95,tabChu,TABC95B,150.336,,,
95,tabChu,TABC95C,164.298,,,
95,tomf,Tom95A,62.141,,,
95,tomf,Tom95B,116.661,,,
95,tomf,Tom95C,54.279,,,