Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.99465,60,prog ratio,0.167172165
60,sylv,Sylv60B,0.99857,60,sylv,0.99480117
60,sylv,Sylv60C,0.9948,60,QM24,0.338245558
60,QM24,QM2460A,0.362265678,60,QM25,0.32685309
60,QM24,QM2460C,0.314225439,60,tab095,0.470694514
60,QM25,QM2560A,0.338378652,60,tabChu,0.361739687
60,QM25,QM2560B,0.309186678,60,tomf,0.001724907
60,QM25,QM2560C,0.32685309,85,prog ratio,0.192468701
60,tab095,TAB09560A,0.470694514,85,sylv,0.994473546
60,tab095,TAB09560B,0.49589288,85,QM24,0.423345603
60,tab095,TAB09560C,0.341980156,85,QM25,0.428714644
60,tabChu,TABC60A,0.33226166,85,tab095,0.546431973
60,tabChu,TABC60B,0.374896089,85,tabChu,0.474181478
60,tabChu,TABC60C,0.361739687,85,tomf,0.001878912
60,tomf,Tom60A,0.001026309,95,prog ratio,0.201697151
60,tomf,Tom60B,0.002429191,95,sylv,0.994560991
60,tomf,Tom60C,0.001724907,95,QM24,0.364324554
85,sylv,Sylv85A,0.994473546,95,QM25,0.42193995
85,sylv,Sylv85B,0.995571702,95,tab095,0.426091526
85,sylv,Sylv85C,0.99404678,95,tabChu,0.426582602
85,QM24,QM2485A,0.423345603,95,tomf,0.00313869
85,QM24,QM2485B,0.399394891,,,
85,QM24,QM2485C,0.434396224,,,
85,QM25,QM2585A,0.428714644,,,
85,QM25,QM2585B,0.420512748,,,
85,QM25,QM2585C,0.449194024,,,
85,tab095,TAB09585A,0.550486367,,,
85,tab095,TAB09585B,0.514378724,,,
85,tab095,TAB09585C,0.546431973,,,
85,tabChu,TABC85A,0.497583966,,,
85,tabChu,TABC85B,0.474181478,,,
85,tabChu,TABC85C,0.449617842,,,
85,tomf,Tom85B,0.001236972,,,
85,tomf,Tom85C,0.002520853,,,
95,sylv,Sylv95A,0.993815606,,,
95,sylv,Sylv95B,0.996415583,,,
95,sylv,Sylv95C,0.994560991,,,
95,QM24,QM2495A,0.299727904,,,
95,QM24,QM2495B,0.428921204,,,
95,QM25,QM2595A,0.429934015,,,
95,QM25,QM2595B,0.42193995,,,
95,QM25,QM2595C,0.323005932,,,
95,tab095,TAB09595A,0.423245645,,,
95,tab095,TAB09595B,0.426091526,,,
95,tab095,TAB09595C,0.428484227,,,
95,tabChu,TABC95A,0.470036965,,,
95,tabChu,TABC95B,0.363711339,,,
95,tabChu,TABC95C,0.426582602,,,
95,tomf,Tom95A,0.003323711,,,
95,tomf,Tom95B,0.00313869,,,
95,tomf,Tom95C,0.002843364,,,
95,prog ratio,,,,,