Dev,Species,Abbrev,DFR,FLS,F3pH,FLS:F3pH,FLS:DFR,Dev,Species,DFR,FLS,F3pH,FLS:F3pH,FLS:DFR
60,sylv,Sylv60A,1.315,92.704,35.996,2.575397266,70.4973384,60,sylv,2.673,120.44,78.274,1.726167054,47.77722772
60,sylv,Sylv60B,2.828,135.114,78.274,1.726167054,47.77722772,60,QM24,10.227,655.825,100.7265,6.512043311,77.76600691
60,sylv,Sylv60C,2.673,120.44,92.246,1.305639269,45.05798728,60,QM25,64.839,575.529,152.195,3.361086139,9.015170315
60,QM24,QM2460A,14.341,629.001,96.228,6.536569398,43.86033052,60,tab095,35.966,144.018,121.968,1.352505022,2.595673692
60,QM24,QM2460C,6.113,682.649,105.225,6.487517225,111.6716833,60,tabChu,4.123,620.783,107.775,4.846866156,126.6968227
60,QM25,QM2560A,64.839,575.529,223.456,2.575580875,8.876278166,60,tomf,35.292,426.949,105.77,4.03657937,10.44279157
60,QM25,QM2560B,42.715,385.083,114.571,3.361086139,9.015170315,85,sylv,7.591,117.763,93.423,1.169232429,13.85483125
60,QM25,QM2560C,68.975,685.415,152.195,4.503531653,9.937151142,85,QM24,225.901,448.787,119.423,3.757961197,2.018711737
60,tab095,TAB09560A,35.966,93.356,62.711,1.488670249,2.595673692,85,QM25,316.953,362.144,112.391,2.395194062,1.142579499
60,tab095,TAB09560B,102.857,144.018,121.968,1.180785124,1.400176945,85,tab095,129.822,83.649,117.889,0.839786881,0.632490045
60,tab095,TAB09560C,23.724,195.909,144.849,1.352505022,8.257840162,85,tabChu,137.145,317.248,97.642,3.26517278,2.251741052
60,tabChu,TABC60A,4.123,522.371,107.775,4.846866156,126.6968227,85,tomf,110.296,302.106,71.6455,4.223809449,2.725559999
60,tabChu,TABC60B,8.261,620.783,79.12,7.84609454,75.14622927,95,sylv,6.846,123.453,112.493,1.068595434,18.03286591
60,tabChu,TABC60C,1.239,731.194,170.187,4.29641512,590.1485069,95,QM24,340.7205,282.534,71.094,4.257787813,0.829112372
60,tomf,Tom60A,35.292,368.547,136.254,2.704852702,10.44279157,95,QM25,291.722,126.979,128.994,0.984379118,0.45008135
60,tomf,Tom60B,46.174,433.726,97.654,4.441456571,9.393294928,95,tab095,79.563,101.159,78.191,1.374200209,1.46656051
60,tomf,Tom60C,32.94,426.949,105.77,4.03657937,12.96141469,95,tabChu,50.469,274.425,75.698,2.595856342,3.753650756
85,sylv,Sylv85A,7.591,75.875,64.893,1.169232429,9.995389277,95,tomf,68.231,186.124,73.374,2.705748818,2.727850977
85,sylv,Sylv85B,6.617,117.763,114.715,1.026570196,17.79703793,,,,,,,
85,sylv,Sylv85C,8.652,119.872,93.423,1.283110155,13.85483125,,,,,,,
85,QM24,QM2485A,225.901,456.029,129.056,3.533574572,2.018711737,,,,,,,
85,QM24,QM2485B,247.55,448.787,119.423,3.757961197,1.812914563,,,,,,,
85,QM24,QM2485C,196.477,442.094,75.323,5.869309507,2.25010561,,,,,,,
85,QM25,QM2585A,316.953,362.144,177.133,2.044475055,1.142579499,,,,,,,
85,QM25,QM2585B,187.886,265.239,110.738,2.395194062,1.411701777,,,,,,,
85,QM25,QM2585C,387.738,427.724,112.391,3.805678391,1.103126338,,,,,,,
85,tab095,TAB09585A,129.267,71.874,85.586,0.839786881,0.556011975,,,,,,,
85,tab095,TAB09585B,129.822,83.649,117.889,0.709557295,0.644336091,,,,,,,
85,tab095,TAB09585C,167.005,105.629,123.731,0.85369875,0.632490045,,,,,,,
85,tabChu,TABC85A,205.91,463.656,123.83,3.744294597,2.251741052,,,,,,,
85,tabChu,TABC85B,102.141,317.248,97.642,3.249093628,3.105980948,,,,,,,
85,tabChu,TABC85C,137.145,276.854,84.79,3.26517278,2.018695541,,,,,,,
85,tomf,Tom85B,108.392,210.74,72.039,2.925359875,1.944239427,,,,,,,
85,tomf,Tom85C,112.2,393.472,71.252,5.522259024,3.50688057,,,,,,,
95,sylv,Sylv95A,4.327,67.407,63.08,1.068595434,15.57822972,,,,,,,
95,sylv,Sylv95B,6.846,123.453,125,0.987624,18.03286591,,,,,,,
95,sylv,Sylv95C,11.139,213.61,112.493,1.898873708,19.17676632,,,,,,,
95,QM24,QM2495A,336.123,275.875,51.944,5.311008009,0.820756092,,,,,,,
95,QM24,QM2495B,345.318,289.193,90.244,3.204567617,0.837468652,,,,,,,
95,QM25,QM2595A,380.35,221.617,96.869,2.287801051,0.582665966,,,,,,,
95,QM25,QM2595B,291.722,126.979,128.994,0.984379118,0.435273994,,,,,,,
95,QM25,QM2595C,226.799,102.078,167.919,0.607900238,0.45008135,,,,,,,
95,tab095,TAB09595A,50.404,101.159,73.613,1.374200209,2.006963733,,,,,,,
95,tab095,TAB09595B,79.563,84.747,89.862,0.943079388,1.065155914,,,,,,,
95,tab095,TAB09595C,82.268,120.651,78.191,1.543029249,1.46656051,,,,,,,
95,tabChu,TABC95A,26.828,274.425,75.698,3.625260905,10.22905174,,,,,,,
95,tabChu,TABC95B,50.469,189.443,72.979,2.595856342,3.753650756,,,,,,,
95,tabChu,TABC95C,85.728,286.901,146.117,1.963501851,3.34664287,,,,,,,
95,tomf,Tom95A,94.536,216.928,80.173,2.705748818,2.294660235,,,,,,,
95,tomf,Tom95B,34.736,106.839,35.269,3.029260824,3.075742745,,,,,,,
95,tomf,Tom95C,68.231,186.124,73.374,2.536647859,2.727850977,,,,,,,