dev,Species,Gene,TMMsum
60,sylv,DFR,2.635
60,QM24,DFR,10.205
60,QM25,DFR,65.98
60,tab095,DFR,35.844
60,tabChu,DFR,4.127
60,tomf,DFR,35.707
85,sylv,DFR,7.468
85,QM24,DFR,235.066
85,QM25,DFR,326.421
85,tab095,DFR,133.39
85,tabChu,DFR,140.962
85,tomf,DFR,116.537
95,sylv,DFR,7.048
95,QM24,DFR,339.445
95,QM25,DFR,285.788
95,tab095,DFR,78.879
95,tabChu,DFR,51.27
95,tomf,DFR,70.482
60,sylv,FLS,120.006
60,QM24,FLS,487.1385
60,QM25,FLS,426.348
60,tab095,FLS,137.063
60,tabChu,FLS,461.611
60,tomf,FLS,248.135
85,sylv,FLS,117.37
85,QM24,FLS,361.556
85,QM25,FLS,297.669
85,tab095,FLS,79.261
85,tabChu,FLS,248.696
85,tomf,FLS,181.612
95,sylv,FLS,126.448
95,QM24,FLS,226.3545
95,QM25,FLS,104.743
95,tab095,FLS,78.857
95,tabChu,FLS,213.584
95,tomf,FLS,117.232
60,sylv,F3pH,55.932
60,QM24,F3pH,90.5395
60,QM25,F3pH,132.315
60,tab095,F3pH,124.935
60,tabChu,F3pH,104.995
60,tomf,F3pH,105.67
85,sylv,F3pH,61.551
85,QM24,F3pH,107.396
85,QM25,F3pH,100.856
85,tab095,F3pH,115.17
85,tabChu,F3pH,92.006
85,tomf,F3pH,75.51
95,sylv,F3pH,76.848
95,QM24,F3pH,60.8235
95,QM25,F3pH,103.555
95,tab095,F3pH,68.77
95,tabChu,F3pH,72.173
95,tomf,F3pH,75.232